GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물주부구분코드,건물주부구분명,건물대지면적,건물건축면적,건물연면적,용적율,건폐율,건축물구조코드,건축물구조명,주요용도코드,주요용도명,세부용도코드,세부용도명,건물용도분류코드,건물용도분류명,건물높이,지상층수,지하층수,허가일자,사용승인일자,데이터기준일자
1975168305084417455500000000,2814010700100540032,2814010700,인천광역시 동구 송림동,1,일반,54-32,8494,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,76.74,137.98,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1975-10-18,1975-12-18,2023-09-14
1993168282954417066300000000,2814010700100540034,2814010700,인천광역시 동구 송림동,1,일반,54-34,12018,2,집합건축물,3,표제부,현대빌라,,0,주건축물,312.27,141.84,652.6,167.19,45.42,21,철근콘크리트구조,02000,공동주택,02003,다세대주택,1,주거용,12.8,4,1,1992-07-29,1993-04-06,2023-09-14
1993168288034416965400000000,2814010700100540035,2814010700,인천광역시 동구 송림동,1,일반,54-35,12019,2,집합건축물,3,표제부,현대빌라,,0,주건축물,122.6,51.47,143.42,77.28,41.98,11,벽돌구조,02000,공동주택,02003,다세대주택,1,주거용,6.5,2,1,1992-07-29,1993-12-22,2023-09-14
1969168292184416656200000000,2814010700100540036,2814010700,인천광역시 동구 송림동,1,일반,54-36,8495,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,45.29,80.43,0,0,21,철근콘크리트구조,01000,단독주택,01000,단독주택,1,주거용,0,2,0,1968-10-07,1969-02-08,2023-09-14
1970168280504416613300000000,2814010700100540037,2814010700,인천광역시 동구 송림동,1,일반,54-37,8496,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,45.92,45.92,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,1970-05-09,1970-11-03,2023-09-14
1997168289034416467900000000,2814010700100540038,2814010700,인천광역시 동구 송림동,1,일반,54-38,8497,1,일반건축물,2,일반건축물대방,,,0,주건축물,179.77,107.52,315.36,175.42,59.81,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,9,3,0,1996-07-01,1997-06-25,2023-09-14
1983168325794416996100000000,2814010700100540051,2814010700,인천광역시 동구 송림동,1,일반,54-51,8501,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,103.52,103.52,0,0,11,벽돌구조,01000,단독주택,01001,단독주택,1,주거용,0,1,0,,1983-06-13,2023-09-14
1970168320904417215200000000,2814010700100540055,2814010700,인천광역시 동구 송림동,1,일반,54-55,8502,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,144.76,267.86,0,0,21,철근콘크리트구조,01000,단독주택,01001,단독주택,1,주거용,0,2,0,1970-03-17,1970-11-18,2023-09-14
1994168333204417173800000000,2814010700100540056,2814010700,인천광역시 동구 송림동,1,일반,54-56,8503,1,일반건축물,2,일반건축물대방,,,0,주건축물,68.4,54.3,162.9,238.16,79.39,21,철근콘크리트구조,01000,단독주택,01003,다가구주택,1,주거용,10.1,3,0,1993-12-15,1994-12-19,2023-09-14
1981168354034417302500000000,2814010700100540057,2814010700,인천광역시 동구 송림동,1,일반,54-57,8504,1,일반건축물,2,일반건축물대방,,,0,주건축물,0,99.34,217.4,0,0,21,철근콘크리트구조,03000,제1종근린생활시설,03001,소매점,2,상업용,0,2,1,1981-10-31,1981-12-31,2023-09-14
